netid,p1q1,p1q2,p1q3,p1q4,p1,p2q1,p2q2,p2q3,p2q4,p2,treat,treatreal,group,Q29p,Q30p,Q28p,Q6p,Q7p,Q8p,Q9p,Q10p,Q11p,Q12p,Q13p,Q14p,Q17p,Q18p,Q19p,Q20p,Q21p,Q22p,Q23p,Q24p,Q25p,Q26p,Q27p,Q28,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27
asg235,25,23.5,21,25,94.5,24,25,25,25,99,treat2,1,1,3,13,3,3,3,2,2,1,2,3,3,1,2,1,1,2,2,2,1,2,1,1,1,3,3,2,2,4,2,2,3,2,2,2,2,1,3,2,1,2,2,1,1,1
clg235,25,23.5,25,25,98.5,24,25,25,25,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
klg98,22,19,6,5,52,14,20,20,14,68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
igg8,24,24,24,25,97,23,21,20,21,85,treat3,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,2,3,3,2,1,3,2,2,2,2,2,2,2,3,2,2,3,3,1
tmg73,25,25,18,22,90,25,25,21,23,94,treat1,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,4,2,3,1,1,1,1,1,3,3,2,2,1,2,2,1,2,1,1,1
tdg47,25,23,18,24.5,90.5,24,24,23,25,96,treat2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,2,3,1,1,1,1,1,3,2,1,3,2,2,2,4,2,2,4,4
ag2429,6,13.5,21,23,63.5,21,22.5,19,14,76.5,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
mrh262,23,20.5,22,24,89.5,25,24.5,18,21,88.5,treat3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,4,4,5,1,2,2,2,1,4,2,4,2,2,2,1,5,5,2,1,1
jeh396,22,22,22,21,87,23,20.5,18,16,77.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
mh983,25,22,21,24,92,23,19,25,21,88,treat3,1,#N/A,0,15,2,2,3,4,4,4,3,2,2,3,2,2,2,1,1,1,2,2,4,3,4,2,2,1,3,2,2,1,3,2,3,2,1,2,2,1,2,2,1,2,2,2
srh233,25,22.5,20,25,92.5,25,25,24.5,23,97.5,treat2,1,#N/A,3,13,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,2,2,1
mrh276,22,22.5,25,24.5,94,23,21,23,25,92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
rh463,24,23.5,18,25,90.5,24,22,23.5,23,92.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
adh238,24,24,25,24,97,23,24,23.5,23,93.5,treat1,1,#N/A,1,13,3,3,5,1,2,2,2,3,3,4,2,4,3,2,2,1,4,4,2,2,1,1,3,4,1,1,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,1
nmh67,25,23,25,21,94,24,24.5,25,25,98.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
mch259,22,22.5,21,22,87.5,22,24,20,16,82,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
alh297,22,23.5,21,24.5,91,24,21,25,17,87,treat3,1,1,0,14,2,1,1,2,1,2,3,3,2,2,3,2,2,1,2,1,2,2,2,2,1,2,2,1,1,2,1,2,3,1,3,3,1,2,1,1,2,2,3,2,2,1
crh227,25,25,22,25,97,24,25,25,25,99,treat3,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,2,3,4,2,2,4,3,3,3,3,3,2,2,2,3,3,3,3,2
jch362,25,23,25,24,97,24,23,25,25,97,treat1,1,#N/A,2,14,3,2,4,1,2,4,3,3,2,2,2,2,2,2,2,2,2,1,2,2,1,2,3,2,2,3,3,2,3,2,2,2,2,2,1,1,2,1,2,3,2,1
yh744,25,23.5,17,14.5,80,24,24,23,23,94,treat1,1,#N/A,2,15,3,3,4,4,4,3,3,3,3,3,1,2,2,2,3,3,2,2,2,2,2,3,3,3,4,4,3,4,2,2,4,2,3,3,2,4,2,3,3,2,2,2
wrh66,25,21.5,15,21,82.5,24,25,23,22,94,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ath84,25,25,22,24.5,96.5,24,25,23.5,21,93.5,treat3,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,2,4,3,3,2,4,2,3,3,3,4,3,2,3,3,3,3,2,2
lh488,25,23,20,25,93,24,25,24,22,95,treat2,1,#N/A,2,15,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,3,1,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,1
nh337,22,24.5,25,22.5,94,24,24,22,23,93,treat3,1,#N/A,5,15,4,3,2,4,2,2,2,2,2,1,2,3,4,2,2,3,3,3,2,2,2,4,3,4,3,2,2,1,2,2,3,2,4,2,3,3,2,4,2,2,2,1
krh57,25,24.5,24,14,87.5,24,22,22,23,91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
tjh237,24,20,19,22,85,23,17,23,14,77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
zi25,25,25,22,25,97,25,24.5,25,25,99.5,treat3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,2,2,2,3,2,2,2,2,1,1,1,1,2,2,2,2,2
oci3,25,22,25,23,95,24,24.5,22,17,87.5,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
mj398,25,25,18,23,91,24,24,25,23,96,treat3,1,#N/A,3,13,1,2,2,2,2,1,1,3,2,2,3,2,2,1,2,2,3,2,2,2,2,1,2,2,3,2,1,3,3,2,2,3,2,3,3,2,2,2,2,2,2,1
dj295,24,24,22,19,89,18,22,21,23,84,treat3,1,#N/A,0,15,3,2,2,4,3,2,3,4,2,4,3,4,4,4,4,4,3,3,4,4,2,3,2,2,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
jj732,22,16,8,10,56,22,22,18,16,78,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
hj253,24,22,21,24,91,24,22,20,22,88,treat1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2
jaj248,22,22,20,24,88,24,23,25,19,91,treat1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,2,3,2,2,1,1,3,2,2,2,1,3,2,1,1,1,1,3,2,2
hdj24,22,24,22,23,91,24,25,25,25,99,treat3,1,#N/A,0,,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,3,1,3,2,2,1,1,1,1,1,1,1,1,1
sak357,12,22,20,22,76,22,21.5,22,19,84.5,treat2,1,#N/A,2,14,2,2,4,3,4,2,3,3,3,3,4,2,3,2,2,3,3,2,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,4,2,2,3,2,2,2,2,1
sak299,25,25,21,25,96,24,23,22,25,94,treat2,1,#N/A,2,14,3,2,2,5,2,4,2,1,2,5,2,1,2,2,2,2,2,1,2,2,2,3,2,1,4,2,3,2,2,2,5,2,3,4,2,2,2,2,2,2,2,1
pjk247,23,23,21,22,89,24,16,21,12,73,treat2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,5,5,4,3,4,1,1,1,3,3,2,3,2,2,2,2,2,2,2,2
ack253,25,22,21,25,93,22,24,25,17,88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
mpk83,25,25,22,25,97,23,23,21.5,21,88.5,treat2,1,1,3,14,3,2,2,3,2,1,1,5,2,3,2,2,3,1,2,2,3,1,2,1,1,3,2,3,3,2,1,1,1,1,1,2,2,3,1,2,2,2,2,1,1,1
rtk53,25,24.5,18,25,92.5,24,25,23,23,95,treat2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,3,3,2,3,2,2,3,3,2,2,2,1,2,2,2,2,3,2,1
dsk253,25,22,22,25,94,24,25,25,19,93,treat3,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,3,4,2,2,2,2,2,2,1,3,1,1,1,2,2,1,2,2,1
nvk6,25,23,22,23,93,24,24,25,23,96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ryk6,25,23,25,23,96,23,24.5,25,23,95.5,treat1,1,#N/A,2,15,3,2,2,4,4,2,2,2,2,4,5,5,5,2,2,2,3,3,2,2,2,4,2,2,3,2,2,2,2,2,2,2,2,2,2,4,2,3,2,3,4,2
edk58,22,24,21,24,91,24,24,25,25,98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ck598,25,25,21,25,96,21,23.5,23,23,90.5,treat3,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,2,2,4,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2
bak93,24,22,21,24,91,24,24,25,23,96,treat3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,3,2,2,1,1,1,2,1,4,2,4,2,1,2,1,2,2,2,2,1
hnk6,25,18,18,18,79,23,25,25,17,90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enk29,24,22.5,21,22,89.5,23,23,22,23,91,treat1,1,#N/A,3,14,3,4,4,2,2,2,2,4,1,2,4,2,4,3,1,3,1,2,2,1,2,3,4,2,2,4,2,2,5,2,4,4,2,4,2,2,3,1,2,4,4,2
apk75,25,19,19,22.5,85.5,25,23,22.5,23,93.5,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
edk55,25,23,21,22.5,91.5,24,23.5,23,23,93.5,treat3,1,#N/A,0,15,2,2,3,2,2,2,2,2,2,2,3,2,3,1,2,1,2,2,2,2,2,2,3,3,3,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,1,1
ark285,25,23,22,20,90,24,24,24,23,95,treat2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1
clk226,25,24,18,22,89,24,25,25,21,95,treat2,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,2,3,2,1,2,4,1,3,1,1,1,1,1,1,1,1,1,1,1
vk262,21,24,14,24,83,23,24,22,25,94,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
vk336,24,22,18,23.5,87.5,23,23,25,23,94,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
nal79,21,17,25,0,63,23,25,21.5,21,90.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sml348,25,23,18,25,91,25,23,25,25,98,treat2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,2,1,1,1,1,3,1,2,2,1,2,1,1,1,1,1,1,2,1
dl599,25,25,21,24.5,95.5,23,22,25,19,89,treat2,1,#N/A,1,14,3,3,2,2,1,3,2,1,1,3,2,2,2,1,3,2,2,1,1,1,1,3,3,3,2,2,1,2,2,2,2,2,4,1,2,2,3,4,3,1,1,1
vml44,23,22,18,21.5,84.5,25,22.5,25,25,97.5,treat2,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,2,3,3,2,1,1,1,1,2,1,3,1,1,1,1,1,2,2,1
jhl265,25,22,21,25,93,23,23,25,23,94,treat1,1,#N/A,3,14,1,3,3,2,1,1,2,2,1,2,2,2,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,2
jvl28,25,24.5,22,21,92.5,23,23,19,25,90,treat2,1,#N/A,2,15,3,4,2,5,3,2,2,2,3,5,2,2,1,1,1,1,3,1,1,1,2,2,3,4,5,2,2,2,3,2,4,2,2,1,2,3,3,2,1,1,2,2
ncl42,25,20.5,19,21,85.5,17,19.5,20,18,74.5,treat2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,3,3,3,2,2,2,3,1,2,3,2,3,3,2,3,3,3,2,3,2
tl688,18,21.5,19,23,81.5,24,25,25,22,96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
jll334,22,23.5,22,24,91.5,24,25,24,21,94,treat2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,3,4,2,2,2,2,2,2,5,2,5,3,2,3,2,2,2,2,1
ayl36,24,23,21,23,91,24,24,25,25,98,treat2,1,#N/A,4,13,3,1,2,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1
cjl334,24,23,22,16.5,85.5,24,24,20,21,89,treat1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,2,3,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,3,2
kl527,25,20.5,22,22,89.5,24,25,22.5,25,96.5,treat1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,5,3,2,4,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2
ejl222,24,24,20,24,92,25,23.5,23,23,94.5,treat1,1,1,2,13,2,3,2,3,3,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2
el733,18,21.5,22,25,86.5,18,23.5,21,19,81.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
jcl353,25,23.5,22,23,93.5,19,19,21,22,81,treat2,1,#N/A,2,13,2,2,2,3,2,2,2,2,2,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2
sjl365,22,25,25,25,97,23,21.5,23,23,90.5,treat2,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,1,4,2,3,2,2,2,1,2,2,1,2,3,2,1,0,2,3,2
